#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName","BinaryPathName"
"Stopped","CredentialEnrollmentManagerUserSvc_926c40b","CredentialEnrollmentManagerUserSvc_926c40b",
"Running","CryptSvc","Cryptographic Services",
"Running","DcomLaunch","DCOM Server Process Launcher",
"Stopped","defragsvc","Optimize drives",
"Stopped","DeviceAssociationBrokerSvc_926c40b","DeviceAssociationBroker_926c40b",
"Running","DeviceAssociationService","Device Association Service",
"Running","DeviceInstall","Device Install Service",
"Stopped","DevicePickerUserSvc_926c40b","DevicePicker_926c40b",
"Stopped","DevicesFlowUserSvc_926c40b","DevicesFlow_926c40b",
"Stopped","DevQueryBroker","DevQuery Background Discovery Broker",
"Running","Dhcp","DHCP Client",
"Stopped","diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service",
"Stopped","diagsvc","Diagnostic Execution Service",
"Running","DiagTrack","Connected User Experiences and Telemetry",
"Running","DispBrokerDesktopSvc","Display Policy Service",
"Running","DisplayEnhancementService","Display Enhancement Service",
"Stopped","DmEnrollmentSvc","Device Management Enrollment Service",
"Stopped","dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service",
"Running","Dnscache","DNS Client",
"Running","DolbyDAXAPI","Dolby DAX API Service",
"Stopped","DoSvc","Delivery Optimization",
"Stopped","dot3svc","Wired AutoConfig",
"Running","DPS","Diagnostic Policy Service",
"Stopped","DsmSvc","Device Setup Manager",
"Running","DsSvc","Data Sharing Service",
"Running","DusmSvc","Data Usage",
"Stopped","EABackgroundService","EABackgroundService",
"Stopped","Eaphost","Extensible Authentication Protocol",
"Stopped","EasyAntiCheat","EasyAntiCheat",
"Stopped","edgeupdate","Microsoft Edge Update Service (edgeupdate)",
"Stopped","edgeupdatem","Microsoft Edge Update Service (edgeupdatem)",
"Stopped","EFS","Encrypting File System (EFS)",
"Stopped","embeddedmode","Embedded Mode",
"Stopped","EntAppSvc","Enterprise App Management Service",
"Running","esifsvc","Intel(R) Dynamic Tuning service",
"Running","EventLog","Windows Event Log",
"Running","EventSystem","COM+ Event System",
"Stopped","Fax","Fax",
"Running","fdPHost","Function Discovery Provider Host",
"Running","FDResPub","Function Discovery Resource Publication",
"Stopped","fhsvc","File History Service",
"Stopped","FileSyncHelper","FileSyncHelper",
"Running","FontCache","Windows Font Cache Service",
"Running","FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0",
"Running","FrameServer","Windows Camera Frame Server",
"Running","ftnlsv3hv","VMware Netlink Supervisor Service",
"Running","ftscanmgrhv","VMware Scanner Redirection Client",
"Stopped","FvSvc","NVIDIA FrameView SDK service",
"Running","GameInput Service","GameInput Service",
"Running","GamingServices","Gaming Services",
"Running","GamingServicesNet","Gaming Services",
"Stopped","GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)",
"Stopped","gpsvc","Group Policy Client",
"Stopped","GraphicsPerfSvc","GraphicsPerfSvc",
"Stopped","gupdate","Google Update Service (gupdate)",
"Stopped","gupdatem","Google Update Service (gupdatem)",
"Running","hidserv","Human Interface Device Service",
"Running","HPPrintScanDoctorService","HP Print Scan Doctor Service",
"Stopped","HvHost","HV Host Service",
"Stopped","icssvc","Windows Mobile Hotspot Service",
"Stopped","igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service",
"Running","IKEEXT","IKE and AuthIP IPsec Keying Modules",
"Running","InstallService","Microsoft Store Install Service",
"Stopped","Intel(R) Capability Licensing Service TCP IP Interface","Intel(R) Capability Licensing Service TCP IP Interface",
"Stopped","Intel(R) TPM Provisioning Service","Intel(R) TPM Provisioning Service",
"Running","IntelAudioService","Intel(R) Audio Service",
"Running","iphlpsvc","IP Helper",
"Stopped","IpxlatCfgSvc","IP Translation Configuration Service",
"Running","jhi_service","Intel(R) Dynamic Application Loader Host Interface Service",
"Running","KeyIso","CNG Key Isolation",
"Stopped","KtmRm","KtmRm for Distributed Transaction Coordinator",
"Running","LanmanServer","Server",
"Running","LanmanWorkstation","Workstation",
"Running","lfsvc","Geolocation Service",
"Running","LicenseManager","Windows License Manager Service",
"Stopped","lltdsvc","Link-Layer Topology Discovery Mapper",
"Running","lmhosts","TCP/IP NetBIOS Helper",
"Running","LMS","Intel(R) Management and Security Application Local Management Service",
"Running","LSM","Local Session Manager",
"Stopped","LxpSvc","Language Experience Service",
"Stopped","MapsBroker","Downloaded Maps Manager",
"Stopped","McpManagementService","McpManagementService",
"Stopped","MessagingService_926c40b","MessagingService_926c40b",
"Stopped","MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)",
"Stopped","MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service",
"Stopped","MozillaMaintenance","Mozilla Maintenance Service",
"Running","mpssvc","Windows Defender Firewall",
"Stopped","MSDTC","Distributed Transaction Coordinator",
"Stopped","MSiSCSI","Microsoft iSCSI Initiator Service",
"Stopped","msiserver","Windows Installer",
"Stopped","NaturalAuthentication","Natural Authentication",
"Stopped","NcaSvc","Network Connectivity Assistant",
"Running","NcbService","Network Connection Broker",
"Stopped","NcdAutoSetup","Network Connected Devices Auto-Setup",
"Stopped","Netlogon","Netlogon",
"Stopped","Netman","Network Connections",
"Running","netprofm","Network List Service",
"Stopped","NetSetupSvc","Network Setup Service",
"Stopped","NetTcpPortSharing","Net.Tcp Port Sharing Service",
"Running","NgcCtnrSvc","Microsoft Passport Container",
"Running","NgcSvc","Microsoft Passport",
"Running","NlaSvc","Network Location Awareness",
"Running","nordvpn-service","nordvpn-service",
"Running","nsi","Network Store Interface Service",
"Running","NvContainerLocalSystem","NVIDIA LocalSystem Container",
"Running","NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS",
"Stopped","OneDrive Updater Service","OneDrive Updater Service",
"Running","OneSyncSvc_926c40b","Sync Host_926c40b",
"Stopped","ose64","Office 64 Source Engine",
"Stopped","p2pimsvc","Peer Networking Identity Manager",
"Stopped","p2psvc","Peer Networking Grouping",
"Running","PcaSvc","Program Compatibility Assistant Service",
"Stopped","perceptionsimulation","Windows Perception Simulation Service",
"Stopped","PerfHost","Performance Counter DLL Host",
"Running","PhoneSvc","Phone Service",
"Running","PimIndexMaintenanceSvc_926c40b","Contact Data_926c40b",
"Stopped","pla","Performance Logs & Alerts",
"Running","PlugPlay","Plug and Play",
"Stopped","PNRPAutoReg","PNRP Machine Name Publication Service",
"Stopped","PNRPsvc","Peer Name Resolution Protocol",
"Stopped","PolicyAgent","IPsec Policy Agent",
"Running","Power","Power",
"Stopped","PrintNotify","Printer Extensions and Notifications",
"Stopped","PrintWorkflowUserSvc_926c40b","PrintWorkflow_926c40b",
"Running","ProfSvc","User Profile Service",
"Stopped","PushToInstall","Windows PushToInstall Service",
"Running","QWAVE","Quality Windows Audio Video Experience",
"Stopped","RasAuto","Remote Access Auto Connection Manager",
"Running","RasMan","Remote Access Connection Manager",
"Running","Razer Game Manager Service","Razer Game Manager",
"Running","Razer Game Manager Service 3","Razer Game Manager Service 3",
"Running","Razer Synapse Service","Razer Synapse Service",
"Stopped","RemoteAccess","Routing and Remote Access",
"Stopped","RemoteRegistry","Remote Registry",
"Stopped","RetailDemo","Retail Demo Service",
"Running","RmSvc","Radio Management Service",
"Stopped","Rockstar Service","Rockstar Game Library Service",
"Running","RpcEptMapper","RPC Endpoint Mapper",
"Stopped","RpcLocator","Remote Procedure Call (RPC) Locator",
"Running","RpcSs","Remote Procedure Call (RPC)",
"Running","RtkAudioUniversalService","Realtek Audio Universal Service",
"Running","RzActionSvc","Razer Central Service",
"Running","SamSs","Security Accounts Manager",
"Stopped","SCardSvr","Smart Card",
"Stopped","ScDeviceEnum","Smart Card Device Enumeration Service",
"Running","Schedule","Task Scheduler",
"Stopped","SCPolicySvc","Smart Card Removal Policy",
"Stopped","SDRSVC","Windows Backup",
"Running","seclogon","Secondary Logon",
"Running","SecurityHealthService","Windows Security Service",
"Stopped","SEMgrSvc","Payments and NFC/SE Manager",
"Running","SENS","System Event Notification Service",
"Stopped","SensorDataService","Sensor Data Service",
"Stopped","SensorService","Sensor Service",
"Stopped","SensrSvc","Sensor Monitoring Service",
"Stopped","SessionEnv","Remote Desktop Configuration",
"Running","SgrmBroker","System Guard Runtime Monitor Broker",
"Stopped","SharedAccess","Internet Connection Sharing (ICS)",
"Stopped","SharedRealitySvc","Spatial Data Service",
"Running","ShellHWDetection","Shell Hardware Detection",
"Stopped","shpamsvc","Shared PC Account Manager",
"Stopped","smphost","Microsoft Storage Spaces SMP",
"Stopped","SmsRouter","Microsoft Windows SMS Router Service.",
"Stopped","SNMPTRAP","SNMP Trap",
"Stopped","spectrum","Windows Perception Service",
"Running","Spooler","Print Spooler",
"Stopped","sppsvc","Software Protection",
"Running","SSDPSRV","SSDP Discovery",
"Stopped","ssh-agent","OpenSSH Authentication Agent",
"Stopped","sshd","OpenSSH SSH Server",
"Running","SstpSvc","Secure Socket Tunneling Protocol Service",
"Running","StateRepository","State Repository Service",
"Stopped","Steam Client Service","Steam Client Service",
"Running","stisvc","Windows Image Acquisition (WIA)",
"Running","StorSvc","Storage Service",
"Stopped","svsvc","Spot Verifier",
"Stopped","swprv","Microsoft Software Shadow Copy Provider",
"Running","SysMain","SysMain",
"Running","SystemEventsBroker","System Events Broker",
"Running","TabletInputService","Touch Keyboard and Handwriting Panel Service",
"Running","TapiSrv","Telephony",
"Running","TbtHostControllerService","Thunderbolt(TM) Application Launcher",
"Stopped","TermService","Remote Desktop Services",
"Running","Themes","Themes",
"Stopped","TieringEngineService","Storage Tiers Management",
"Running","TimeBrokerSvc","Time Broker",
"Running","TokenBroker","Web Account Manager",
"Running","TrkWks","Distributed Link Tracking Client",
"Stopped","TroubleshootingSvc","Recommended Troubleshooting Service",
"Stopped","TrustedInstaller","Windows Modules Installer",
"Stopped","tzautoupdate","Auto Time Zone Updater",
"Stopped","UdkUserSvc_926c40b","Udk User Service_926c40b",
"Stopped","uhssvc","Microsoft Update Health Service",
"Stopped","UmRdpService","Remote Desktop Services UserMode Port Redirector",
"Running","UnistoreSvc_926c40b","User Data Storage_926c40b",
"Stopped","upnphost","UPnP Device Host",
"Running","UserDataSvc_926c40b","User Data Access_926c40b",
"Running","UserManager","User Manager",
"Running","UsoSvc","Update Orchestrator Service",
"Stopped","VacSvc","Volumetric Audio Compositor Service",
"Running","VaultSvc","Credential Manager",
"Stopped","vds","Virtual Disk",
"Running","VMAuthdService","VMware Authorization Service",
"Stopped","vmicguestinterface","Hyper-V Guest Service Interface",
"Stopped","vmicheartbeat","Hyper-V Heartbeat Service",
"Stopped","vmickvpexchange","Hyper-V Data Exchange Service",
"Stopped","vmicrdv","Hyper-V Remote Desktop Virtualization Service",
"Stopped","vmicshutdown","Hyper-V Guest Shutdown Service",
"Stopped","vmictimesync","Hyper-V Time Synchronization Service",
"Stopped","vmicvmsession","Hyper-V PowerShell Direct Service",
"Stopped","vmicvss","Hyper-V Volume Shadow Copy Requestor",
"Running","VMnetDHCP","VMware DHCP Service",
"Running","VMUSBArbService","VMware USB Arbitration Service",
"Running","VMware NAT Service","VMware NAT Service",
"Running","vmwsprrdpwks","VMware Serial Com Redirection Client service",
"Stopped","VSS","Volume Shadow Copy",
"Running","W32Time","Windows Time",
"Stopped","WaaSMedicSvc","Windows Update Medic Service",
"Stopped","WalletService","WalletService",
"Stopped","WarpJITSvc","WarpJITSvc",
"Stopped","wbengine","Block Level Backup Engine Service",
"Running","WbioSrvc","Windows Biometric Service",
"Running","Wcmsvc","Windows Connection Manager",
"Stopped","wcncsvc","Windows Connect Now - Config Registrar",
"Running","WdiServiceHost","Diagnostic Service Host",
"Stopped","WdiSystemHost","Diagnostic System Host",
"Running","WdNisSvc","Microsoft Defender Antivirus Network Inspection Service",
"Stopped","WebClient","WebClient",
"Stopped","Wecsvc","Windows Event Collector",
"Stopped","WEPHOSTSVC","Windows Encryption Provider Host Service",
"Stopped","wercplsupport","Problem Reports Control Panel Support",
"Stopped","WerSvc","Windows Error Reporting Service",
"Stopped","WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service",
"Stopped","WiaRpc","Still Image Acquisition Events",
"Running","WinDefend","Microsoft Defender Antivirus Service",
"Running","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service",
"Running","Winmgmt","Windows Management Instrumentation",
"Stopped","WinRM","Windows Remote Management (WS-Management)",
"Stopped","wisvc","Windows Insider Service",
"Running","WlanSvc","WLAN AutoConfig",
"Running","wlidsvc","Microsoft Account Sign-in Assistant",
"Stopped","wlpasvc","Local Profile Assistant Service",
"Stopped","WManSvc","Windows Management Service",
"Stopped","wmiApSrv","WMI Performance Adapter",
"Stopped","WMPNetworkSvc","Windows Media Player Network Sharing Service",
"Stopped","workfolderssvc","Work Folders",
"Stopped","WpcMonSvc","Parental Controls",
"Stopped","WPDBusEnum","Portable Device Enumerator Service",
"Running","WpnService","Windows Push Notifications System Service",
"Running","WpnUserService_926c40b","Windows Push Notifications User Service_926c40b",
"Running","wscsvc","Security Center",
"Running","WSearch","Windows Search",
"Stopped","wuauserv","Windows Update",
"Stopped","WwanSvc","WWAN AutoConfig",
"Stopped","XblAuthManager","Xbox Live Auth Manager",
"Stopped","XblGameSave","Xbox Live Game Save",
"Stopped","XboxGipSvc","Xbox Accessory Management Service",
"Stopped","XboxNetApiSvc","Xbox Live Networking Service",
